duration_seconds,steps
0,0
0,0
0,1000
0,1000
0,22
0,11
0,1000
0,1000
0,293
0,14
0,48
0,1000
0,13
0,161
0,1000
0,52
0,554
0,307
0,124
0,32
0,138
0,91
0,37
0,216
0,37
0,177
4,1000
0,34
0,55
6,1000
0,108
0,66
0,63
0,107
7,1000
8,1000
10,1000
1,123
0,60
0,63
11,1000
0,51
1,134
0,41
0,66
0,67
0,43
19,1000
1,61
1,89
1,62
2,130
1,91
2,133
4,157
30,1000
2,96
34,1000
34,1000
11,321
4,119
39,1000
7,210
3,94
8,186
50,1000
8,208
9,194
13,254
61,1000
4,90
4,86
9,162
10,164
7,137
83,1000
6,104
81,1000
76,1000
94,1000
10,136
16,201
6,96
104,1000
9,113
111,1000
106,1000
114,1000
85,705
122,1000
129,1000
29,274
12,117
141,1000
13,126
145,1000
121,1000
140,1000
10,97
166,1000
