duration_seconds,steps
0,0
0,0
0,200
0,300
0,3
0,0
0,365
0,0
0,14
0,13
0,63
0,7
0,256
0,741
0,16
0,10
0,227
0,14
0,147
0,341
0,22
0,18
0,10
0,23
0,926
0,14
0,54
0,14
0,19
0,18
0,14
0,13
0,22
0,30
0,31
0,25
0,18
0,21
0,29
0,348
0,18
0,29
0,46
1,740
0,360
0,25
0,33
0,48
0,32
0,32
0,119
0,490
0,24
1,1000
0,147
0,28
0,82
0,43
0,58
1,507
1,421
0,164
0,32
0,49
1,293
0,28
0,61
0,32
1,251
0,40
0,131
0,91
1,407
0,39
0,49
1,256
0,144
3,775
1,268
1,254
0,71
0,39
2,408
0,43
0,43
4,946
0,74
0,96
0,35
5,1000
0,59
4,1000
0,56
0,121
0,62
4,823
0,52
0,56
2,402
0,47
