duration_seconds,steps
0,0
0,0
0,200
0,300
0,0
0,0
0,488
0,0
0,5
0,108
0,32
0,12
0,80
0,190
0,151
0,1
0,250
0,248
0,1
0,17
0,5
0,20
0,24
0,37
0,21
0,10
0,42
0,113
0,57
0,151
0,33
0,52
0,21
0,56
0,56
0,33
0,98
0,36
0,22
0,38
0,6
0,52
0,72
0,36
0,44
0,42
0,21
0,53
0,26
0,29
0,8
0,48
0,43
0,38
0,81
0,65
0,56
0,49
0,12
0,37
0,54
0,46
0,133
0,114
0,28
0,47
0,25
0,46
0,55
0,35
0,73
0,54
0,90
0,83
0,58
0,116
0,73
0,67
0,44
0,20
0,69
0,52
0,111
0,34
0,56
0,143
0,45
0,81
0,54
0,33
0,42
0,26
0,44
0,46
0,115
0,78
0,15
0,19
0,23
0,34
